Table Name	Field Name	Field Description	Code List Values	Column Mappings	Unit	Override Study Day	Override Study Time	Map To Planned Visit	Verbatim Question	Who is Assessed	Age At Onset Reported	Age At Onset Unit Reported	Location
MH2	M4EGCVSY	Egg/Peanut symp CV reactn	1=Checked				Afternoon		Prick Skin Test performed for Egg/Egg Products				
MH2	M4PEGG	PST egg	"0=No, 1=Yes, 2=Not Available"			M4PEGGDT	Afternoon		Prick Skin Test performed for Egg/Egg Products				
MH2	M4PMILK	PST milk	"0=No, 1=Yes, 2=Not Available"			M4PMLKDT	Afternoon		Prick Skin Test performed for Milk/Milk Products				
MH2	M4PPNUT	PST peanut	"0=No, 1=Yes, 2=Not Available"			M4PPNUDT	Afternoon		Prick Skin Test performed for Peanut/Peanut Products				
MH2	M4PTNUT	PST tree nut	"0=No, 1=Yes, 2=Not Available"			M4PTNUDT	Afternoon		Prick Skin Test performed for Tree Nut/Tree Nut Products				
MH2	M4PFISH	PST fish	"0=No, 1=Yes, 2=Not Available"			M4PFISDT	Afternoon		Prick Skin Test performed for Fish/Fish Products				
MH2	M4PSHFIS	PST shellfish	"0=No, 1=Yes, 2=Not Available"			M4PSHFDT	Afternoon		Prick Skin Test performed for Shellfish/Shellfish Products				
MH2	M4PEGGDT	PST egg date					Afternoon		Date PST performed for Egg/Egg Products				
MH2	M4PMLKDT	PST milk date					Afternoon		Date PST performed for Milk/Milk Products				
MH2	M4PPNUDT	PST peanut date					Afternoon		Date PST performed for Peanut/Peanut Products				
MH2	M4PTNUDT	PST tree nut date					Afternoon		Date PST performed for Tree Nut/Tree Nut Products				
MH2	M4PFISDT	PST fish date					Afternoon		Date PST performed for Fish/Fish Products				
MH2	M4PSHFDT	PST shellfish date					Afternoon		Date PST performed for Shellfish/Shellfish Products				
MH2	M4PEGGTL	PST egg test location	"1=Study site, 2=Outside site"			M4PEGGDT	Afternoon		PST test location for Egg/Egg Products				
MH2	M4PMLKTL	PST milk test location	"1=Study site, 2=Outside site"			M4PMLKDT	Afternoon		PST test location for Milk/Milk Products				
MH2	M4PPNUTL	PST peanut test location	"1=Study site, 2=Outside site"			M4PPNUDT	Afternoon		PST test location for Peanut/Peanut Products				
MH2	M4PTNUTL	PST tree nut tst location	"1=Study site, 2=Outside site"			M4PTNUDT	Afternoon		PST test location for Tree Nut/Tree Nut Products				
MH2	M4PFISTL	PST fish test location	"1=Study site, 2=Outside site"			M4PFISDT	Afternoon		PST test location for Fish/Fish Products				
MH2	M4PSHFTL	PST shellfish tst locatio	"1=Study site, 2=Outside site"			M4PSHFDT	Afternoon		PST test location for Shellfish/Shellfish Products				
MH2	M4PEGGQL	PST egg qual result	"0=Negative, 1=Positive, 9=Unknown"			M4PEGGDT	Afternoon		PST Qualitative results for Egg/Egg Products				
MH2	M4PMLKQL	PST milk qual result	"0=Negative, 1=Positive, 9=Unknown"			M4PMLKDT	Afternoon		PST Qualitative results for Milk/Milk Products				
MH2	M4PPNUQL	PST peanut qual result	"0=Negative, 1=Positive, 9=Unknown"			M4PPNUDT	Afternoon		PST Qualitative results for Peanut/Peanut Products				
MH2	M4PTNUQL	PST tree nut qual result	"0=Negative, 1=Positive, 9=Unknown"			M4PTNUDT	Afternoon		PST Qualitative results for Tree Nut/Tree Nut Products				
MH2	M4PFISQL	PST fish qual result	"0=Negative, 1=Positive, 9=Unknown"			M4PFISDT	Afternoon		PST Qualitative results for Fish/Fish Products				
MH2	M4PSHFQL	PST shellfish qual result	"0=Negative, 1=Positive, 9=Unknown"			M4PSHFDT	Afternoon		PST Qualitative results for Shellfish/Shellfish Products				
MH2	M4PEGGQN	PST egg quan result			mm	M4PEGGDT	Afternoon		PST Quantitative results for Egg/Egg Products				
MH2	M4PMLKQN	PST milk quan result			mm	M4PMLKDT	Afternoon		PST Quantitative results for Milk/Milk Products				
MH2	M4PPNUQN	PST peanut quan result			mm	M4PPNUDT	Afternoon		PST Quantitative results for Peanut/Peanut Products				
MH2	M4PTNUQN	PST tree nut quan result			mm	M4PTNUDT	Afternoon		PST Quantitative results for Tree Nut/Tree Nut Products				
MH2	M4PFISQN	PST fish quan result			mm	M4PFISDT	Afternoon		PST Quantitative results for Fish/Fish Products				
MH2	M4PSHFQN	PST shellfish quan result			mm	M4PSHFDT	Afternoon		PST Quantitative results for Shellfish/Shellfish Products				
MH2	M4IEGGPF	IgE egg performed	"0=No, 1=Yes, 2=Not Available"			M4IEGGDT	Afternoon		Serum IgE performed for Egg/Egg Products				
MH2	M4IMLKPF	IgE milk performed	"0=No, 1=Yes, 2=Not Available"			M4IMLKDT	Afternoon		Serum IgE performed for Milk/Milk Products				
MH2	M4IPNUPF	IgE peanut performed	"0=No, 1=Yes, 2=Not Available"			M4IPNUDT	Afternoon		Serum IgE performed for Peanut/Peanut Products				
MH2	M4ITNUPF	IgE tree nut performed	"0=No, 1=Yes, 2=Not Available"			M4ITNUDT	Afternoon		Serum IgE performed for Tree Nut/Tree Nut Products				
MH2	M4IFISPF	IgE fish performed	"0=No, 1=Yes, 2=Not Available"			M4IFISDT	Afternoon		Serum IgE performed for Fish/Fish Products				
MH2	M4ISHFPF	IgE shellfish performed	"0=No, 1=Yes, 2=Not Available"			M4ISHFDT	Afternoon		Serum IgE performed for Shellfish/Shellfish Products				
MH2	M4IEGGDT	IgE egg date					Afternoon		Date IgE performed for Egg/Egg Products				
MH2	M4IMLKDT	IgE milk date					Afternoon		Date IgE performed for Milk/Milk Products				
MH2	M4IPNUDT	IgE peanut date					Afternoon		Date IgE performed for Peanut/Peanut Products				
MH2	M4ITNUDT	IgE tree nut date					Afternoon		Date IgE performed for Tree Nut/Tree Nut Products				
MH2	M4IFISDT	IgE fish date					Afternoon		Date IgE performed for Fish/Fish Products				
MH2	M4ISHFDT	IgE shellfish date					Afternoon		Date IgE performed for Shellfish/Shellfish Products				
MH2	M4IEGGTL	IgE egg test location	"1=Study site, 2=Outside site"			M4IEGGDT	Afternoon		IgE test location for Egg/Egg Products				
MH2	M4IMLKTL	IgE milk test location	"1=Study site, 2=Outside site"			M4IMLKDT	Afternoon		IgE test location for Milk/Milk Products				
MH2	M4IPNUTL	IgE peanut test location	"1=Study site, 2=Outside site"			M4IPNUDT	Afternoon		IgE test location for Peanut/Peanut Products				
MH2	M4ITNUTL	IgE tree nut tst location	"1=Study site, 2=Outside site"			M4ITNUDT	Afternoon		IgE test location for Tree Nut/Tree Nut Products				
MH2	M4IFISTL	IgE fish test location	"1=Study site, 2=Outside site"			M4IFISDT	Afternoon		IgE test location for Fish/Fish Products				
MH2	M4ISHFTL	IgE shellfish test locat	"1=Study site, 2=Outside site"			M4ISHFDT	Afternoon		IgE test location for Shellfish/Shellfish Products				
MH2	M4IEGGQL	IgE egg qual result	"0=Negative, 1=Positive, 9=Unknown"			M4IEGGDT	Afternoon		IgE Qualitative results for Egg/Egg Products				
MH2	M4IMLKQL	IgE milk qual result	"0=Negative, 1=Positive, 9=Unknown"			M4IMLKDT	Afternoon		IgE Qualitative results for Milk/Milk Products				
MH2	M4IPNUQL	IgE peanut qual result	"0=Negative, 1=Positive, 9=Unknown"			M4IPNUDT	Afternoon		IgE Qualitative results for Peanut/Peanut Products				
MH2	M4ITNUQL	IgE tree nut qual result	"0=Negative, 1=Positive, 9=Unknown"			M4ITNUDT	Afternoon		IgE Qualitative results for Tree Nut/Tree Nut Products				
MH2	M4IFISQL	IgE fish qual result	"0=Negative, 1=Positive, 9=Unknown"			M4IFISDT	Afternoon		IgE Qualitative results for Fish/Fish Products				
MH2	M4ISHFQL	IgE shellfish qual result	"0=Negative, 1=Positive, 9=Unknown"			M4ISHFDT	Afternoon		IgE Qualitative results for Shellfish/Shellfish Products				
MH2	M4IEGGGL	IgE egg greater_less	"1=>, 2=<"			M4IEGGDT	Afternoon		IgE result for Egg/Egg Products				
MH2	M4IMLKGL	IgE milk greater_less	"1=>, 2=<"			M4IMLKDT	Afternoon		IgE result for Milk/Milk Products				
MH2	M4IPNUGL	IgE peanut greater_less	"1=>, 2=<"			M4IPNUDT	Afternoon		IgE result for Peanut/Peanut Products				
MH2	M4ITNUGL	IgE tree nut greater_less	"1=>, 2=<"			M4ITNUDT	Afternoon		IgE result for Tree Nut/Tree Nut Products				
MH2	M4IFISGL	IgE fish greater_less	"1=>, 2=<"			M4IFISDT	Afternoon		IgE result for Fish/Fish Products				
MH2	M4ISHFGL	IgE shellfish greater_les	"1=>, 2=<"			M4ISHFDT	Afternoon		IgE result for Shellfish/Shellfish Products				
MH2	M4IEGGQN	IgE egg quan result			kIU/L	M4IEGGDT	Afternoon		IgE Quantitative result for Egg/Egg Products				
MH2	M4IMLKQN	IgE milk quan result			kIU/L	M4IMLKDT	Afternoon		IgE Quantitative result for Milk/Milk Products				
MH2	M4IPNUQN	IgE peanut quan result			kIU/L	M4IPNUDT	Afternoon		IgE Quantitative result for Peanut/Peanut Products				
MH2	M4ITNUQN	IgE tree nut quan result			kIU/L	M4ITNUDT	Afternoon		IgE Quantitative result for Tree Nut/Tree Nut Products				
MH2	M4IFISQN	IgE fish quan result			kIU/L	M4IFISDT	Afternoon		IgE Quantitative result for Fish/Fish Products				
MH2	M4ISHFQN	IgE shellfish quan result			kIU/L	M4ISHFDT	Afternoon		IgE Quantitative result for Shellfish/Shellfish Products				
MH2	M4OEGGPF	OFC egg performed	"0=No, 1=Yes, 9=Unknown"			M4OEGGDT	Afternoon		OFC performed for Egg/Egg Products				
MH2	M4OMLKPF	OFC milk performed	"0=No, 1=Yes, 9=Unknown"			M4OMLKDT	Afternoon		OFC performed for Milk/Milk Products				
MH2	M4OPNUPF	OFC peanut performed	"0=No, 1=Yes, 9=Unknown"			M4OPNUDT	Afternoon		OFC performed for Peanut/Peanut Products				
MH2	M4OTNUPF	OFC tree nut performed	"0=No, 1=Yes, 9=Unknown"			M4OTNUDT	Afternoon		OFC performed for Tree Nut/Tree Nut Products				
MH2	M4OFISPF	OFC fish performed	"0=No, 1=Yes, 9=Unknown"			M4OFISDT	Afternoon		OFC performed for Fish/Fish Products				
MH2	M4OSHFPF	OFC shellfish performed	"0=No, 1=Yes, 9=Unknown"			M4OSHFDT	Afternoon		OFC performed for Shellfish/Shellfish Products				
MH2	M4OEGGDT	OFC egg date					Afternoon		Date OFC performed for Egg/Egg Products				
MH2	M4OMLKDT	OFC milk date					Afternoon		Date OFC performed for Milk/Milk Products				
MH2	M4OPNUDT	OFC peanut date					Afternoon		Date OFC performed for Peanut/Peanut Products				
MH2	M4OTNUDT	OFC tree nut date					Afternoon		Date OFC performed for Tree Nut/Tree Nut Products				
MH2	M4OFISDT	OFC fish date					Afternoon		Date OFC performed for Fish/Fish Products				
MH2	M4OSHFDT	OFC shellfish date					Afternoon		Date OFC performed for Shellfish/Shellfish Products				
MH2	M4OEGGTL	OFC egg test location	"1=Study site, 2=Outside site"			M4OEGGDT	Afternoon		OFC test location for Egg/Egg Products				
MH2	M4OMLKTL	OFC milk test location	"1=Study site, 2=Outside site"			M4OMLKDT	Afternoon		OFC test location for Milk/Milk Products				
MH2	M4OPNUTL	OFC peanut test location	"1=Study site, 2=Outside site"			M4OPNUDT	Afternoon		OFC test location for Peanut/Peanut Products				
MH2	M4OTNUTL	OFC tree nut tst location	"1=Study site, 2=Outside site"			M4OTNUDT	Afternoon		OFC test location for Tree Nut/Tree Nut Products				
MH2	M4OFISTL	OFC fish test location	"1=Study site, 2=Outside site"			M4OFISDT	Afternoon		OFC test location for Fish/Fish Products				
MH2	M4OSHFTL	OFC shellfish tst locat	"1=Study site, 2=Outside site"			M4OSHFDT	Afternoon		OFC test location for Shellfish/Shellfish Products				
MH2	M4OEGGCM	OFC egg chall method	"0=Open, 1=Single blind, 2=Double blind"			M4OEGGDT	Afternoon		OFC challenge method for Egg/Egg Products				
MH2	M4OMLKCM	OFC milk chall method	"0=Open, 1=Single blind, 2=Double blind"			M4OMLKDT	Afternoon		OFC challenge method for Milk/Milk Products				
MH2	M4OPNUCM	OFC peanut chall method	"0=Open, 1=Single blind, 2=Double blind"			M4OPNUDT	Afternoon		OFC challenge method for Peanut/Peanut Products				
MH2	M4OTNUCM	OFC tree nut chall method	"0=Open, 1=Single blind, 2=Double blind"			M4OTNUDT	Afternoon		OFC challenge method for Tree Nut/Tree Nut Products				
MH2	M4OFISCM	OFC fish chall method	"0=Open, 1=Single blind, 2=Double blind"			M4OFISDT	Afternoon		OFC challenge method for Fish/Fish Products				
MH2	M4OSHFCM	OFC shellfish chall meth	"0=Open, 1=Single blind, 2=Double blind"			M4OSHFDT	Afternoon		OFC challenge method for Shellfish/Shellfish Products				
MH2	M4OEGGTR	OFC egg test result	"0=Negative, 1=Positive, 9=Unknown"			M4OEGGDT	Afternoon		OFC test results for Egg/Egg Products				
MH2	M4OMLKTR	OFC milk test result	"0=Negative, 1=Positive, 9=Unknown"			M4OMLKDT	Afternoon		OFC test results for Milk/Milk Products				
MH2	M4OPNUTR	OFC peanut test result	"0=Negative, 1=Positive, 9=Unknown"			M4OPNUDT	Afternoon		OFC test results for Peanut/Peanut Products				
MH2	M4OTNUTR	OFC tree nut test result	"0=Negative, 1=Positive, 9=Unknown"			M4OTNUDT	Afternoon		OFC test results for Tree Nut/Tree Nut Products				
MH2	M4OFISTR	OFC fish test result	"0=Negative, 1=Positive, 9=Unknown"			M4OFISDT	Afternoon		OFC test results for Fish/Fish Products				
MH2	M4OSHFTR	OFC shellfish test result	"0=Negative, 1=Positive, 9=Unknown"			M4OSHFDT	Afternoon		OFC test results for Shellfish/Shellfish Products				
MH2	M4OTFDEL	Other food eliminated	"0=No, 1=Yes"				Afternoon		Have other foods been eliminated?				
OFC	PATID	Participant ID		User Defined ID									
OFC	PROTSEG	Protocol Segment	"A=Screening, B=Baked Egg/Egg OIT Treatment"	NA									
OFC	ANTIGEN	Antigen	"1=Milk, 2=Egg, 3=Peanut"						[Same]				
OFC	OFC_DATE	Oral Food Challenge Date		Study Day									
OFC	OFPRFFLW	Peak Respiratory Flow			percentage				Percent predicted PFR				
OFC	OFHALFLF	No antihist for 5 half-lf	"0=No, 1=Yes"						No antihistamines for 5 half-lives of specific type				
OFC	OFCFINDT	Date OFC finished		NA					[Same]				
OFC	CHALRESU	Challenge results	"0=Negative, 1=Positive - reaction to active substance"						[Same]				
OFC	OFINCHAL	Initial challenge	"1=Active Substance, 2=Placebo"						[Same]				
OFC	DSESUCPR	Cum successful protein			grams				Cumulative successfully consumed dose				
OFC	DSE1SYPR	Cumul first symp protein			grams				Cumulative dose at first objective symptom				
OFC	DSELSTPR	Cumul dose term protein			grams				Cumulative dose at termination of challenge				
OFC	OFRPTDOS	Repeated active dose givn	"0=No, 1=Yes"						Was a repeated dose given				
OFC	OFRPTDS1	Reptd active dose 1 powdr			grams				[Same]				
OFC	OFRPD1PR	Reptd active dose 1 protn			grams				[Same]				
OFC	OFRPTDS2	Reptd active dose 2 powdr			grams				[Same]				
OFC	OFRPD2PR	Reptd active dose 2 protn			grams				[Same]				
OFC	DSESUCC	Dose cum success consumed			grams				Cumulative successfully consumed dose				
OFC	DSE1SYMP	Cum. dose first symptom			grams				Cumulative dose at first objective symptom				
OFC	DSELSTSY	Cumulative dose			grams				Cumulative dose				
OFC	OFMEDGVN	Medications given	"0=No, 1=Yes, 9=Unknown"						Were medications given				
OFC	OFEPIPEN	Epinephrine	"0=No, 1=Yes, 9=Unknown"						[Same]				
OFC	OFEPIDOS	Epinephrine doses given			Count				[Same]				
OFC	OFANTHIS	Antihistamines	"0=No, 1=Yes, 9=Unknown"						[Same]				
OFC	OFANTDOS	Antihistamines doses give			Count				[Same]				
OFC	OFSTERIV	Steriods IV or oral	"0=No, 1=Yes, 9=Unknown"						[Same]				
OFC	OFISTDOS	IV steroids doses given			Count				[Same]				
OFC	OFSTERTP	Steriods topical	"0=No, 1=Yes, 9=Unknown"						[Same]				
OFC	OFTSTDOS	Topical steroids dose giv			Count				[Same]				
OFC	OFBETAA	Beta-Agonists	"0=No, 1=Yes, 9=Unknown"						[Same]				
OFC	OFBETDOS	Beta-agonists doses given			Count				[Same]				
OFC	OFIVFLD	IV-fluids	"0=No, 1=Yes, 9=Unknown"						[Same]				
OFC	OFIVFDOS	IV fluids doses given			Count				[Same]				
OFC	OFOTMED	Other medication	"0=No, 1=Yes, 9=Unknown"						[Same]				
OFC	OFOTMDOS	Other meds doses given			Count				[Same]				
OFC	PEXPSYMP	Placebo exper symptoms	"0=No, 1=Yes"						Did the paticipant experience any symptoms for Placebo				
OFC	PDSSUCC	Placebo cum success consu			grams				Cumulative placebo successfully consumed dose				
OFC	PDS1SYMP	Placebo cum dose 1st symp			grams				Cumulative placebo dose at first objective symptom				
OFC	PDSLSTSY	Placebo cum dose terminat			grams				Cumulative placebo dose at termination of challenge				
OFC	OFPMEDGV	Placebo meds given	"0=No, 1=Yes, 9=Unknown"						Were medications given (placebo)				
OFC	OFPEPIPN	Placebo epinephrine	"0=No, 1=Yes, 9=Unknown"						[Same]				
SPT	PATID	Participant ID		User Defined ID									
SPT	PROTSEG	Protocol Segment	"A=Screening, B=Baked Egg/Egg OIT Treatment"	NA									
SPT	VISNO	Visit Number	"0=Baseline, 1=Visit 1, 2=Visit 2, 3=Visit 3, 4=Visit 4, 5=Visit 5, 6=Visit 6, 7=Visit 7, 8=Visit 8, F01=3 months post final OFC Phone Assessment, F02=6 months post final OFC In person, F03=3 year long term follow-up, F04= 4 year long term follow-up, F05=5 year long term follow-up"	Visit				"{""A"":""Baseline""}"					
SPT	SPT_DATE	Prick Skin Test Date		Study Day									
SPT	SPTEDATE	Date form completed		NA									
SPT	HISTAMIN	Histamine wheal size			mms				[Same]				Back
SPT	SALINE	Saline wheal size			mms				[Same]				Back
SPT	MILKWHL	Milk wheal size			mms				[Same]				Back
SPT	MILKSCR	Milk score			mms				[Same]				Back
SPT	EGGWHL	Egg wheal size			mms				[Same]				Back
SPT	EGGSCR	Egg score			mms				[Same]				Back
SPT	PEANUTWH	Peanut wheal size			mms				[Same]				Back
SPT	PEANUTSC	Peanut score			mms				[Same]				Back
SPT	SPCRHWHL	Cockroach wheal size			mms				[Same]				Back
SPT	SPCRHSCR	Cockroach score			mms				[Same]				Back
SPT	SPMLDWHL	Mold wheal size			mms				[Same]				Back
SPT	SPMLDSCR	Mold score			mms				[Same]				Back
SPT	SPTREWHL	Tree mix wheal size			mms				[Same]				Back
SPT	SPTRESCR	Tree mix score			mms				[Same]				Back
SPT	SPGRSWHL	Grass mix wheal size			mms				[Same]				Back
SPT	SPGRSSCR	Grass mix score			mms				[Same]				Back
SPT	SPWEDWHL	Weed mix wheal size			mms				[Same]				Back
SPT	SPWEDSCR	Weed mix score			mms				[Same]				Back
SPT	MEDGIVEN	Medications given	"0=No, 1=Yes, 9=Unknown"						Was medication given				
SPT	EPIPENSP	Epinephrine	"0=No, 1=Yes, 9=Unknown"						Was epinephrine given				Thigh
SPT	ANTHISSP	Antihistamines	"0=No, 1=Yes, 9=Unknown"						Were antihistamines given				Mouth or Vein
SPT	STERIVSP	Steriods IV or oral	"0=No, 1=Yes, 9=Unknown"						Were oral or IV steriods given				Mouth or Vein
SPT	STERTOPS	Steriods topical	"0=No, 1=Yes, 9=Unknown"						Were topical steriods given				Skin
SPT	SPBETAAG	Beta-agonist	"0=No, 1=Yes, 9=Unknown"						Were beta-agonist given				
SPT	SPIVFLDS	IV-Fluids	"0=No, 1=Yes, 9=Unknown"						Were IV fluids given				Vein
SPT	OTHERSP	Other medication	"0=No, 1=Yes, 9=Unknown"						Were other medications given				
